checkpoint,sample_id,true_label,conv_early_2_norm,conv_early_2_std,conv_early_2_nonzero_frac,conv_mid_2_norm,conv_mid_2_std,conv_mid_2_nonzero_frac,conv_final_2_norm,conv_final_2_std,conv_final_2_nonzero_frac,penult_norm,penult_n_active,is_zero_vector,p_nhs,p_hs,logit_nhs,pred_label,unit_0,unit_1,unit_2,unit_3,unit_4,unit_5,unit_6,unit_7,unit_8,unit_9,unit_10,unit_11,unit_12,unit_13,unit_14,unit_15
OLD,HSCAD50,HS,225.2086181640625,0.25001323223114014,1.0,730.698486328125,1.328181266784668,1.0,499.89337158203125,2.5669479370117188,1.0,0.0,0,True,0.4175189733505249,0.5824810266494751,-0.33296662422451984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLD,HSCAD51,HS,245.47621154785156,0.2723104953765869,1.0,769.1334228515625,1.3985038995742798,1.0,526.0968627929688,2.627236843109131,1.0,0.0,0,True,0.4175189733505249,0.5824810266494751,-0.33296662422451984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLD,HSCAD510,HS,224.2692413330078,0.24899527430534363,1.0,730.6090087890625,1.3278073072433472,1.0,491.5884094238281,2.5604023933410645,1.0,0.0,0,True,0.4175189733505249,0.5824810266494751,-0.33296662422451984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLD,HSCAD511,HS,211.65809631347656,0.23508931696414948,1.0,712.78125,1.2952998876571655,1.0,457.4653625488281,2.3733773231506348,1.0,0.0,0,True,0.4175189733505249,0.5824810266494751,-0.33296662422451984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLD,HSCAD512,HS,210.90420532226562,0.2342521995306015,1.0,709.5346069335938,1.289703607559204,1.0,450.3772277832031,2.4031941890716553,1.0,0.0,0,True,0.4175189733505249,0.5824810266494751,-0.33296662422451984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLD,HSCAD513,HS,210.68629455566406,0.23403196036815643,1.0,706.9767456054688,1.2844910621643066,1.0,468.1288146972656,2.4960131645202637,1.0,0.0,0,True,0.4175189733505249,0.5824810266494751,-0.33296662422451984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLD,HSCAD514,HS,256.0430908203125,0.2839106619358063,1.0,789.1050415039062,1.4351235628128052,1.0,537.896484375,2.688936948776245,1.0,0.0,0,True,0.4175189733505249,0.5824810266494751,-0.33296662422451984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLD,HSCAD515,HS,247.07012939453125,0.27403220534324646,1.0,778.4302368164062,1.416087031364441,1.0,524.4782104492188,2.6479547023773193,1.0,0.0,0,True,0.4175189733505249,0.5824810266494751,-0.33296662422451984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLD,HSCAD516,HS,148.49838256835938,0.16522058844566345,1.0,622.098388671875,1.1297892332077026,1.0,304.6923828125,1.6936246156692505,1.0,27.352643966674805,8,False,0.9999997019767761,2.980232238769531e-07,15.026094122981318,1,0.0,0.0,0.0,2.9728455543518066,5.959028244018555,2.230600118637085,0.0,0.0,10.286932945251465,0.0,6.537471771240234,0.0,0.0,15.7525053024292,8.511839866638184,15.155573844909668
OLD,HSCAD517,HS,247.45559692382812,0.2744700610637665,1.0,774.4754028320312,1.4085569381713867,1.0,507.1916198730469,2.5430548191070557,1.0,0.0,0,True,0.4175189733505249,0.5824810266494751,-0.33296662422451984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
