checkpoint,sample_id,case_type,p_hs,pred_label,gradcam_spread,gradcam_area_gt50,gradcam_is_degenerate,gradcam_plus_spread,gradcam_plus_area_gt50,gradcam_plus_is_degenerate,layercam_spread,layercam_area_gt50,layercam_is_degenerate,occlusion_spread,occlusion_area_gt50,occlusion_is_degenerate
OLD,HSCAD50,TP,0.5825,HS,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True
OLD,HSCAD51,TP,0.5825,HS,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True
OLD,HSCAD510,TP,0.5825,HS,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True
OLD,NHSCAD510_1,TN,0.0,NHS,0.0,0.0,True,0.0,0.0,True,101.55,0.0036,False,83.02,0.1071,False
OLD,NHSCAD51000,TN,0.0,NHS,0.0,0.0,True,0.0,0.0,True,89.42,0.0021,False,56.91,0.0153,False
OLD,NNHSCAD5999_9,TN,0.0,NHS,0.0,0.0,True,0.0,0.0,True,101.19,0.0042,False,66.12,0.0867,False
OLD,NNHSCAD5994_4,FP,0.5205,HS,83.45,0.3771,False,0.0,0.0,True,76.33,0.0048,False,85.48,0.0459,False
OLD,NHSCAD50_8,FP,0.5825,HS,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True
OLD,NHSCAD51_1,FP,0.5825,HS,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True
OLD,HSCAD516,FN,0.0,NHS,0.0,0.0,True,0.0,0.0,True,95.68,0.0063,False,63.76,0.0561,False
NEW,HSCAD50,TP,0.5677,HS,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True
NEW,HSCAD51,TP,0.5677,HS,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True,56.28,0.0408,False
NEW,HSCAD510,TP,0.5677,HS,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True
NEW,NHSCAD510_1,TN,0.0,NHS,0.0,0.0,True,0.0,0.0,True,106.15,0.0019,False,63.98,0.0612,False
NEW,NHSCAD51000,TN,0.0,NHS,0.0,0.0,True,0.0,0.0,True,104.18,0.0072,False,72.69,0.0765,False
NEW,NNHSCAD5999_9,TN,0.0,NHS,0.0,0.0,True,0.0,0.0,True,105.34,0.0089,False,62.79,0.0408,False
NEW,NNHSCAD5994_4,FP,0.1244,NHS,0.0,0.0,True,0.0,0.0,True,98.83,0.0066,False,62.89,0.0714,False
NEW,NHSCAD50_8,FP,0.5677,HS,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True,87.64,0.0357,False
NEW,NHSCAD51_1,FP,0.4815,NHS,0.0,0.0,True,0.0,0.0,True,99.87,0.0019,False,53.08,0.0765,False
NEW,HSCAD516,FN,0.0002,NHS,0.0,0.0,True,0.0,0.0,True,99.88,0.0019,False,59.05,0.0459,False
