sample_id,case_type,p_hs,p_nhs,conv_early_2_mean,conv_early_2_std,conv_mid_2_mean,conv_mid_2_std,conv_final_2_mean,conv_final_2_std,dense_penult_pre_relu_max,dense_penult_pre_relu_min,dense_penult_n_positive,dense_penult_post_relu_sum,dense_output_logit_nhs
HSCAD50,TP,0.5825,0.4175,-0.025864744558930397,0.25001323223114014,0.09707588702440262,1.328181266784668,-1.8361514806747437,2.5669479370117188,-5.534969329833984,-23.588083267211914,0,0.0,-0.3329665958881378
HSCAD51,TP,0.5825,0.4175,-0.030093953013420105,0.2723104953765869,0.09568239748477936,1.3985038995742798,-2.0322182178497314,2.627236843109131,-4.5525407791137695,-24.641969680786133,0,0.0,-0.3329665958881378
HSCAD510,TP,0.5825,0.4175,-0.02551807463169098,0.24899527430534363,0.09990571439266205,1.3278073072433472,-1.7540805339813232,2.5604023933410645,-3.0596985816955566,-19.44371795654297,0,0.0,-0.3329665958881378
NHSCAD510_1,TN,0.0,1.0,-0.02027253992855549,0.21615733206272125,0.09540387988090515,1.241039514541626,-1.3469359874725342,2.118079662322998,20.765480041503906,-7.463071823120117,8,92.06048583984375,22.456205368041992
NHSCAD51000,TN,0.0,1.0,-0.009798767976462841,0.1351848989725113,0.09332495927810669,1.0732344388961792,-0.6730236411094666,1.4734411239624023,19.415462493896484,-8.945908546447754,8,85.8792724609375,20.230653762817383
NNHSCAD5999_9,TN,0.0,1.0,-0.009807655587792397,0.1351202130317688,0.09338376671075821,1.0671515464782715,-0.6358909606933594,1.3670494556427002,21.855941772460938,-8.841958999633789,8,88.75590515136719,21.474166870117188
NNHSCAD5994_4,FP,0.5204,0.4796,-0.021807163953781128,0.22695213556289673,0.09758879244327545,1.2720719575881958,-1.491059422492981,2.1955065727233887,1.1075282096862793,-11.83259391784668,1,1.1075294017791748,-0.08190491795539856
NHSCAD50_8,FP,0.5825,0.4175,-0.02447519265115261,0.24121123552322388,0.09104420244693756,1.3123432397842407,-1.6864317655563354,2.4115238189697266,-5.561062812805176,-15.103055000305176,0,0.0,-0.3329665958881378
NHSCAD51_1,FP,0.5825,0.4175,-0.03405819460749626,0.28997355699539185,0.08552045375108719,1.4568513631820679,-2.1307404041290283,2.703927516937256,-3.274813652038574,-23.759199142456055,0,0.0,-0.3329665958881378
HSCAD516,FN,0.0,1.0,-0.013052571564912796,0.16522058844566345,0.09522049129009247,1.1297892332077026,-0.9121996164321899,1.6936246156692505,15.752504348754883,-7.927098751068115,8,67.40673828125,15.1290864944458
